Cell phone	Control	rankcellphone	rankcontrol
636	557	27	20
623	572	25	22
615	457	24	5
672	489	29	12
601	532	22	17
600	506	21	13
542	648	9	32
554	485	11.5	9.5
543	610	10	27
520	444	5	3
609	626	23	29.5
559	626	14	29.5
595	426	20	1
565	585	16	24
573	487	17	11
554	436	11.5	2
626	642	26	31
501	476	4	7
574	586	18	25
468	565	2	21
578	617	19	28
560	528	15	16
525	578	6	23
647	472	28	6
456	485	1	9.5
688	539	31	19
679	523	30	15
960	479	32	8
558	535	13	18
482	603	3	26
527	512	7	14
536	449	8	4
