treatm,level,dog,min,hist
morphine,intact,1,0,0.04
morphine,intact,2,0,0.02
morphine,intact,3,0,0.07
morphine,intact,4,0,0.17
morphine,deplet,5,0,0.1
morphine,deplet,6,0,0.12
morphine,deplet,7,0,0.07
morphine,deplet,8,0,0.05
trimetha,intact,9,0,0.03
trimetha,intact,10,0,0.03
trimetha,intact,11,0,0.07
trimetha,intact,12,0,0.09
trimetha,deplet,13,0,0.1
trimetha,deplet,14,0,0.08
trimetha,deplet,15,0,0.13
trimetha,deplet,16,0,0.06
morphine,intact,1,1,0.2
morphine,intact,2,1,0.06
morphine,intact,3,1,1.4
morphine,intact,4,1,0.57
morphine,deplet,5,1,0.09
morphine,deplet,6,1,0.11
morphine,deplet,7,1,0.07
morphine,deplet,8,1,0.07
trimetha,intact,9,1,0.62
trimetha,intact,10,1,1.05
trimetha,intact,11,1,0.83
trimetha,intact,12,1,3.13
trimetha,deplet,13,1,0.09
trimetha,deplet,14,1,0.09
trimetha,deplet,15,1,0.1
trimetha,deplet,16,1,0.05
morphine,intact,1,3,0.1
morphine,intact,2,3,0.02
morphine,intact,3,3,0.48
morphine,intact,4,3,0.35
morphine,deplet,5,3,0.13
morphine,deplet,6,3,0.1
morphine,deplet,7,3,0.07
morphine,deplet,8,3,0.06
trimetha,intact,9,3,0.31
trimetha,intact,10,3,0.73
trimetha,intact,11,3,1.07
trimetha,intact,12,3,2.06
trimetha,deplet,13,3,0.09
trimetha,deplet,14,3,0.09
trimetha,deplet,15,3,0.12
trimetha,deplet,16,3,0.05
morphine,intact,1,5,0.08
morphine,intact,2,5,0.02
morphine,intact,3,5,0.24
morphine,intact,4,5,0.24
morphine,deplet,5,5,0.14
morphine,deplet,6,5,
morphine,deplet,7,5,0.07
morphine,deplet,8,5,0.07
trimetha,intact,9,5,0.22
trimetha,intact,10,5,0.6
trimetha,intact,11,5,0.8
trimetha,intact,12,5,1.23
trimetha,deplet,13,5,0.08
trimetha,deplet,14,5,0.1
trimetha,deplet,15,5,0.12
trimetha,deplet,16,5,0.05
