treatm,cage,month,lnc
1,1,1,9.9323
1,1,2,9.6447
1,1,3,9.7628
1,1,4,9.6014
1,1,5,9.3227
1,1,6,9.2463
1,1,7,9.0739
1,1,8,9.2077
1,1,9,9.1670
1,1,10,8.8319
1,3,1,10.0547
1,3,2,9.7384
1,3,3,9.6928
1,3,4,9.4676
1,3,5,9.5297
1,3,6,9.3837
1,3,7,9.2052
1,3,8,9.2582
1,3,9,9.0681
1,3,10,8.8753
1,5,1,9.7448
1,5,2,9.4278
1,5,3,9.5995
1,5,4,9.2614
1,5,5,9.3744
1,5,6,9.0857
1,5,7,9.1068
1,5,8,9.1732
1,5,9,8.9907
1,5,10,8.9995
1,7,1,9.8660
1,7,2,9.8687
1,7,3,9.9329
1,7,4,9.7183
1,7,5,9.6861
1,7,6,9.5047
1,7,7,9.2622
1,7,8,9.2699
1,7,9,9.1555
1,7,10,9.1584
1,9,1,9.9552
1,9,2,9.5536
1,9,3,9.4930
1,9,4,9.4369
1,9,5,9.4520
1,9,6,9.4147
1,9,7,9.4107
1,9,8,9.3751
1,9,9,9.2475
1,9,10,9.0435
1,11,1,10.0629
1,11,2,9.3001
1,11,3,9.4933
1,11,4,9.5531
1,11,5,9.4716
1,11,6,9.5268
1,11,7,9.3824
1,11,8,9.4984
1,11,9,9.4288
1,11,10,9.2197
1,13,1,9.5017
1,13,2,9.3842
1,13,3,9.4360
1,13,4,9.6212
1,13,5,9.5677
1,13,6,9.5215
1,13,7,9.2091
1,13,8,9.3517
1,13,9,9.3856
1,13,10,8.9675
1,15,1,10.0309
1,15,2,10.0183
1,15,3,10.0498
1,15,4,9.4852
1,15,5,9.2132
1,15,6,9.2503
1,15,7,9.1181
1,15,8,9.2290
1,15,9,9.1642
1,15,10,9.3195
1,17,1,9.7663
1,17,2,9.5432
1,17,3,9.6509
1,17,4,9.5609
1,17,5,9.3536
1,17,6,9.1662
1,17,7,9.0456
1,17,8,9.1207
1,17,9,9.0017
1,17,10,8.6596
1,19,1,9.8280
1,19,2,9.4351
1,19,3,9.6417
1,19,4,9.22395
1,19,5,9.12891
1,19,6,8.90150
1,19,7,8.81016
1,19,8,8.87808
1,19,9,8.88972
1,19,10,8.64962
2,37,1,9.82747
2,37,2,9.73074
2,37,3,9.86188
2,37,4,9.42907
2,37,5,9.49002
2,37,6,9.25071
2,37,7,9.19573
2,37,8,9.12358
2,37,9,9.17357
2,37,10,8.83244
2,39,1,9.84326
2,39,2,9.54988
2,39,3,9.71069
2,39,4,9.43843
2,39,5,9.24927
2,39,6,9.05579
2,39,7,9.05940
2,39,8,9.08455
2,39,9,8.70135
2,39,10,8.52952
2,41,1,9.61687
2,41,2,9.52988
2,41,3,9.72005
2,41,4,9.58445
2,41,5,9.5417
2,41,6,9.2853
2,41,7,9.2000
2,41,8,9.1297
2,41,9,9.1581
2,41,10,8.6167
2,43,1,10.0113
2,43,2,9.6484
2,43,3,9.9999
2,43,4,9.6561
2,43,5,9.4287
2,43,6,9.3461
2,43,7,9.2389
2,43,8,9.1544
2,43,9,9.1661
2,43,10,8.8541
2,45,1,9.8492
2,45,2,9.6047
2,45,3,9.8203
2,45,4,9.6947
2,45,5,9.4792
2,45,6,9.4477
2,45,7,9.2581
2,45,8,9.1585
2,45,9,9.2962
2,45,10,9.0866
2,47,1,9.5177
2,47,2,9.2334
2,47,3,9.5024
2,47,4,9.2550
2,47,5,9.1309
2,47,6,9.0878
2,47,7,9.1532
2,47,8,9.1592
2,47,9,9.0489
2,47,10,8.6405
2,49,1,9.9281
2,49,2,10.0050
2,49,3,10.0031
2,49,4,9.8947
2,49,5,9.8068
2,49,6,9.3459
2,49,7,9.6030
2,49,8,9.5863
2,49,9,9.5821
2,49,10,9.2727
2,51,1,9.8826
2,51,2,9.4501
2,51,3,9.4529
2,51,4,8.8948
2,51,5,9.6650
2,51,6,9.6353
2,51,7,9.5537
2,51,8,9.5686
2,51,9,9.5420
2,51,10,9.2311
2,53,1,9.3478
2,53,2,9.0006
2,53,3,9.7821
2,53,4,9.7288
2,53,5,9.7622
2,53,6,9.7271
2,53,7,9.6169
2,53,8,9.5086
2,53,9,9.5714
2,53,10,9.0708
2,55,1,9.2383
2,55,2,9.2836
2,55,3,9.6568
2,55,4,9.2773
2,55,5,9.0384
2,55,6,8.6728
2,55,7,8.7223
2,55,8,9.2371
2,55,9,9.0401
2,55,10,8.4087
3,73,1,9.8233
3,73,2,9.6681
3,73,3,9.8997
3,73,4,9.8167
3,73,5,10.0940
3,73,6,9.8411
3,73,7,9.8696
3,73,8,10.0094
3,73,9,9.8142
3,73,10,9.3583
3,75,1,9.6919
3,75,2,9.3716
3,75,3,9.7093
3,75,4,9.8329
3,75,5,9.6066
3,75,6,9.5953
3,75,7,9.5790
3,75,8,9.56297
3,75,9,9.46568
3,75,10,9.11372
3,77,1,9.17098
3,77,2,9.02630
3,77,3,9.33917
3,77,4,9.15335
3,77,5,9.48471
3,77,6,9.31946
3,77,7,9.26293
3,77,8,9.34801
3,77,9,9.10231
3,77,10,8.71981
3,79,1,9.66065
3,79,2,9.61687
3,79,3,9.94889
3,79,4,9.44983
3,79,5,9.76141
3,79,6,9.62172
3,79,7,9.58912
3,79,8,9.67734
3,79,9,9.60204
3,79,10,9.25282
3,81,1,9.67181
3,81,2,9.48562
3,81,3,9.95185
3,81,4,9.93571
3,81,5,9.89157
3,81,6,9.86162
3,81,7,9.85235
3,81,8,9.80764
3,81,9,9.6175
3,81,10,9.3750
3,83,1,9.7825
3,83,2,9.5811
3,83,3,9.8567
3,83,4,9.9680
3,83,5,9.7416
3,83,6,9.6896
3,83,7,9.6343
3,83,8,9.5998
3,83,9,9.6643
3,83,10,9.2569
3,85,1,9.7760
3,85,2,8.9304
3,85,3,9.6580
3,85,4,9.6287
3,85,5,9.4755
3,85,6,9.2415
3,85,7,9.0085
3,85,8,9.1024
3,85,9,9.0334
3,85,10,8.2845
3,87,1,10.4604
3,87,2,10.2835
3,87,3,10.4866
3,87,4,9.6220
3,87,5,9.1854
3,87,6,9.2164
3,87,7,9.1096
3,87,8,9.3701
3,87,9,9.0729
3,87,10,8.5015
3,89,1,9.6283
3,89,2,9.5501
3,89,3,9.6097
3,89,4,9.5965
3,89,5,9.6157
3,89,6,9.5611
3,89,7,9.4868
3,89,8,9.4783
3,89,9,9.5914
3,89,10,9.2428
3,91,1,9.7043
3,91,2,9.5845
3,91,3,9.7727
3,91,4,9.8739
3,91,5,10.0003
3,91,6,9.7848
3,91,7,9.5811
3,91,8,9.6846
3,91,9,9.6006
3,91,10,9.2681
