"C.H" "REDNESS" "COLOUR" "SHININES" "R.SMELL" "R.FLAV" "SWEETNES" "SOURNESS" "BITTERNE" "OFF.FLAV" "JUICINES" "THICKNES" "CHEW.RES" "PREFEREN"
"C2_H1" 3.8889 4.3333001 4.2778001 4.3888998 4.3611002 4.6943998 4.1943998 2.9166999 3.1944001 5.3333001 4.1111002 3.8333001 4
"C4_H1" 4.4443998 4.9721999 4.6666999 4.9166999 4.6388998 4.3056002 4.3056002 3.2221999 2.9721999 5.7221999 4.3056002 3.8333001 3.2
"C3_H3" 6.6388998 7.0833001 4.9721999 5.4443998 4.9166999 3.8055999 4.9166999 3.5 2.6944001 6.0556002 3.5278001 3.8889 5
"C3_H1" 3.8889 4.8611002 4.75 4.6666999 4 3.1389 4.4721999 3.6944001 3.5278001 5.3056002 4.8056002 4.5278001 1.8
"C1_H1" 3.9166999 4.4443998 3.8333001 3.75 3.8889 5.1388998 3.8333001 3.0555999 3.9166999 5.4443998 4.1666999 3.8055999 4.3000002
"C4_H3" 5.9166999 6.3888998 5.0833001 5.8611002 5.75 4.9721999 5.2221999 2.3611 2.1389 6.5278001 3.6944001 3.3333001 6
"C2_H3" 7.75 7.6388998 5.0278001 4.0556002 3.8055999 4.3888998 4.3333001 3.4721999 3.8333001 6.0278001 3.3889 4.4443998 8
"C4_H2" 5.1388998 5.8333001 5.4443998 5.6111002 5.3056002 3.5833001 4.7221999 3.25 2.6389 6.1388998 4.2221999 3.75 2.9000001
"C1_H2" 6.1666999 6.0556002 4.2778001 3.7221999 3.6944001 5.5833001 3.5 2.9166999 4.3056002 6.0278001 4.1388998 3.4166999 7.5999999
"C3_H2" 6.0278001 6.4443998 5.1666999 5.5556002 5.3888998 4.6943998 4.7221999 2.4721999 2.75 6.2221999 3.6666999 3.1944001 5.9000001
"C1_H3" 8.4443998 8.0277996 5.1111002 3.8333001 3.6389 4.7778001 4.4166999 3.6666999 3.9444001 6.0278001 3.1944001 4.2778001 8.5
"C2_H2" 4.9721999 5.6111002 4.7778001 4.7778001 3.9444001 3.6944001 4.4443998 3.3889 3.8889 6.0833001 3.75 3.7778001 3
